Term	Genes	FDR	Category	Description
GO:0048523	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,CDH1,SMAD2,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	1.77e-27	Process	Negative regulation of cellular process
GO:0045596	MAPK1,CCND1,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,WNT5A,STAT3,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,PTEN,DKK1,TGFBR1,BMP2,SNAI2,BCL2,RHOA,PAX6,CDKN2A,MYC	1.8e-27	Process	Negative regulation of cell differentiation
GO:0048646	MAPK1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,SMAD2,MAPK3,WNT5A,LEF1,TP53,NOTCH1,WNT3A,WNT1,SHH,WNT10B,CASP3,FGF8,SOX2,WT1,SMAD3,SMAD4,CTNNB1,JUN,PTEN,DKK1,KLF4,TGFBR1,SNAI2,FGFR1,PAX6,PROM1,HIF1A,AKT1	1.86e-27	Process	Anatomical structure formation involved in morphogenesis
GO:0023051	FGF4,MAPK1,NFKB1,GLI1,GAPDH,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,HNF4A,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	2.92e-27	Process	Regulation of signaling
GO:0051246	FGF4,MAPK1,NFKB1,CCND1,GAPDH,TWIST1,BMP4,SOX9,KRAS,CDH1,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,CDKN2A,AKT1,GFAP,MYC	2.92e-27	Process	Regulation of protein metabolic process
GO:0010647	FGF4,MAPK1,NFKB1,GLI1,GAPDH,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,SHFM1	3.21e-27	Process	Positive regulation of cell communication
GO:0023056	FGF4,MAPK1,NFKB1,GLI1,GAPDH,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,SHFM1	3.8e-27	Process	Positive regulation of signaling
GO:0045597	NFKB1,TWIST1,SNAI1,BMP4,SOX9,JAG1,SMAD2,WNT5A,STAT3,LEF1,CDH2,NOTCH1,WNT3A,PPARG,SHH,WNT10B,FOS,FGF8,SOX2,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,PTEN,DKK1,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,PROM1,HIF1A,AKT1	4.41e-27	Process	Positive regulation of cell differentiation
GO:0022603	GLI1,TWIST1,BMP4,SOX9,JAG1,POU5F1,WNT5A,STAT3,CDH2,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,HNF4A,FGF8,GSK3B,WT1,SMAD4,CTNNB1,NF1,MTOR,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,ESR1,HIF1A,MYC,SHFM1	6.54e-27	Process	Regulation of anatomical structure morphogenesis
GO:0071363	FGF4,MAPK1,TWIST1,BMP4,SOX9,POU5F1,SMAD2,MAPK3,WNT5A,LEF1,TP53,ERBB2,NOTCH1,FOS,CASP3,FGF8,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,FGFR1,RHOA,AKT1	6.54e-27	Process	Cellular response to growth factor stimulus
GO:0048522	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,PROM1,HIF1A,AKT1,MYC,SHFM1	7.18e-27	Process	Positive regulation of cellular process
GO:0048598	FGF4,MAPK1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,MAPK3,WNT5A,LEF1,TP53,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,SOX2,SMAD3,SMAD4,CTNNB1,RUNX2,DKK1,KLF4,TGFBR1,FGFR1,PAX6,HIF1A	1.45e-26	Process	Embryonic morphogenesis
GO:0048519	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,CDH1,SMAD2,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	2.27e-26	Process	Negative regulation of biological process
GO:0072359	MAPK1,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,SMAD2,MAPK3,WNT5A,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,SHH,CASP3,FGF8,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,PTEN,TGFBR1,BMP2,SNAI2,FGFR1,PAX6,HIF1A,AKT1	2.27e-26	Process	Circulatory system development
GO:0007507	MAPK1,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,SMAD2,MAPK3,WNT5A,TP53,ERBB2,NOTCH1,WNT3A,PPARG,SHH,CASP3,FGF8,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,PTEN,TGFBR1,BMP2,SNAI2,HIF1A	2.82e-26	Process	Heart development
GO:0043066	FGF4,NFKB1,TWIST1,SNAI1,BMP4,SOX9,KRAS,WNT5A,LEF1,IGF1R,TP53,NOTCH1,WNT1,ANXA5,SHH,CASP3,FGF8,GSK3B,WT1,SMAD3,CTNNB1,MTOR,NES,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,SNAI2,BCL2,RHOA,HIF1A,AKT1,MYC	4.68e-26	Process	Negative regulation of apoptotic process
GO:0007399	MAPK1,GLI1,TWIST1,BMP4,SOX9,JAG1,KRAS,CDH1,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,FGF8,SOX2,GSK3B,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,PAX6,PROM1,HIF1A,AKT1	4.96e-26	Process	Nervous system development
GO:0048731	FGF4,MAPK1,CCND1,GLI1,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,AKT1,MYC	5.2e-26	Process	System development
GO:0048518	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,PROM1,HIF1A,AKT1,MYC,SHFM1	6.09e-26	Process	Positive regulation of biological process
GO:0007417	MAPK1,GLI1,BMP4,SOX9,KRAS,CDH1,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,SOX2,GSK3B,CTNNB1,ACTB,NF1,MTOR,NES,PTEN,SRC,DKK1,BMP2,BCL2,FGFR1,RHOA,PAX6,HIF1A,AKT1	6.17e-26	Process	Central nervous system development
GO:0009968	GLI1,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,SMAD2,WNT5A,IGF1R,CDH2,TP53,ERBB2,NOTCH1,PPARG,WNT1,SHH,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,MTOR,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,RHOA,ESR1,HIF1A,AKT1,MYC,SHFM1	6.17e-26	Process	Negative regulation of signal transduction
GO:0032268	FGF4,MAPK1,NFKB1,CCND1,GAPDH,TWIST1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,CDKN2A,AKT1,MYC	6.17e-26	Process	Regulation of cellular protein metabolic process
GO:0048584	FGF4,MAPK1,NFKB1,GLI1,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	8.22e-26	Process	Positive regulation of response to stimulus
GO:0009790	FGF4,MAPK1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,MAPK3,WNT5A,LEF1,TP53,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,SOX2,WT1,SMAD3,SMAD4,CTNNB1,NF1,NES,RUNX2,DKK1,KLF4,TGFBR1,BMP2,FGFR1,PAX6,HIF1A,AKT1	9.39e-26	Process	Embryo development
GO:0051171	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,GFAP,MYC,SHFM1	9.39e-26	Process	Regulation of nitrogen compound metabolic process
GO:0002009	TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,WNT5A,LEF1,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,WT1,SMAD3,SMAD4,CTNNB1,ACTB,SRC,KLF4,BMP2,BCL2,FGFR1,RHOA,ESR1,HIF1A,MYC	1.28e-25	Process	Morphogenesis of an epithelium
GO:0048585	NFKB1,GLI1,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,SMAD2,WNT5A,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,MTOR,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,RHOA,ESR1,HIF1A,AKT1,MYC,SHFM1	1.46e-25	Process	Negative regulation of response to stimulus
GO:0007275	FGF4,MAPK1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,AKT1,MYC	1.51e-25	Process	Multicellular organism development
GO:0007423	MAPK1,TWIST1,BMP4,SOX9,JAG1,MAPK3,WNT5A,STAT3,LEF1,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FGF8,SOX2,WT1,SMAD3,CTNNB1,NF1,NES,JUN,KLF4,TGFBR1,BMP2,BCL2,FGFR1,PAX6,PROM1,HIF1A	1.92e-25	Process	Sensory organ development
GO:2000112	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	1.99e-25	Process	Regulation of cellular macromolecule biosynthetic process
GO:0006357	FGF4,NFKB1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,DKK1,KLF4,BMP2,SNAI2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	2.24e-25	Process	Regulation of transcription by RNA polymerase II
GO:0048583	FGF4,MAPK1,NFKB1,GLI1,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	2.62e-25	Process	Regulation of response to stimulus
GO:0060322	MAPK1,GLI1,BMP4,SOX9,KRAS,CDH1,MAPK3,WNT5A,LEF1,CDH2,TP53,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,SOX2,GSK3B,CTNNB1,ACTB,NF1,MTOR,NES,PTEN,SRC,DKK1,BMP2,BCL2,FGFR1,RHOA,PAX6,HIF1A	3.08e-25	Process	Head development
GO:0001932	FGF4,MAPK1,CCND1,TWIST1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,CASP3,FGF8,SOX2,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,PAX6,CDKN2A,AKT1,MYC	4.73e-25	Process	Regulation of protein phosphorylation
GO:0007165	FGF4,MAPK1,NFKB1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	5.05e-25	Process	Signal transduction
GO:0019220	FGF4,MAPK1,CCND1,TWIST1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,CASP3,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,PAX6,CDKN2A,HIF1A,AKT1,MYC	5.05e-25	Process	Regulation of phosphate metabolic process
GO:0040012	FGF4,MAPK1,GLI1,TWIST1,SNAI1,BMP4,SOX9,JAG1,CDH1,MAPK3,WNT5A,STAT3,LEF1,IGF1R,ERBB2,NOTCH1,WNT3A,PPARG,SHH,SMAD3,NF1,MTOR,JUN,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,HIF1A,AKT1	5.1e-25	Process	Regulation of locomotion
GO:0048762	MAPK1,TWIST1,SNAI1,BMP4,SOX9,JAG1,MAPK3,WNT5A,LEF1,NOTCH1,SHH,FGF8,GSK3B,SMAD4,CTNNB1,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,HIF1A	5.1e-25	Process	Mesenchymal cell differentiation
GO:0045944	FGF4,NFKB1,GLI1,NANOG,TWIST1,BMP4,SOX9,JAG1,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,TP53,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,KLF4,BMP2,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	5.16e-25	Process	Positive regulation of transcription by RNA polymerase II
GO:0080090	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,GFAP,MYC,SHFM1	5.92e-25	Process	Regulation of primary metabolic process
GO:0006355	FGF4,MAPK1,NFKB1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	7.36e-25	Process	Regulation of transcription, DNA-templated
GO:0042325	FGF4,MAPK1,CCND1,TWIST1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,CASP3,FGF8,SOX2,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,PAX6,CDKN2A,HIF1A,AKT1,MYC	1.52e-24	Process	Regulation of phosphorylation
GO:0048468	MAPK1,TWIST1,BMP4,SOX9,JAG1,KRAS,CDH1,MAPK3,WNT5A,LEF1,ERBB2,NOTCH1,WNT3A,PPARG,SHH,WNT10B,CASP3,HNF4A,FGF8,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,HIF1A,AKT1	1.61e-24	Process	Cell development
GO:0051270	FGF4,MAPK1,GLI1,TWIST1,SNAI1,BMP4,SOX9,JAG1,CDH1,MAPK3,WNT5A,STAT3,LEF1,IGF1R,ERBB2,NOTCH1,WNT3A,PPARG,SHH,SMAD3,NF1,MTOR,JUN,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,HIF1A,AKT1	1.72e-24	Process	Regulation of cellular component movement
GO:0051716	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,PXDNL,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	1.82e-24	Process	Cellular response to stimulus
GO:0016202	MAPK1,GLI1,TWIST1,BMP4,LEF1,NOTCH1,WNT3A,SHH,WNT10B,FGF8,SMAD3,SMAD4,CTNNB1,MTOR,PTEN,DKK1,TGFBR1,BMP2,BCL2,FGFR1	1.86e-24	Process	Regulation of striated muscle tissue development
GO:2000145	FGF4,MAPK1,GLI1,TWIST1,SNAI1,BMP4,SOX9,JAG1,CDH1,MAPK3,WNT5A,STAT3,LEF1,IGF1R,ERBB2,NOTCH1,PPARG,SHH,SMAD3,NF1,MTOR,JUN,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,HIF1A,AKT1	2.17e-24	Process	Regulation of cell motility
GO:0010468	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	3.6e-24	Process	Regulation of gene expression
GO:0031323	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,GFAP,MYC,SHFM1	4.01e-24	Process	Regulation of cellular metabolic process
GO:0035270	MAPK1,GLI1,BMP4,SOX9,CDH1,SMAD2,MAPK3,WNT5A,SHH,HNF4A,FGF8,SOX2,WT1,SMAD3,NF1,TGFBR1,BMP2,PAX6,AKT1	1.48e-23	Process	Endocrine system development
GO:0031399	FGF4,MAPK1,CCND1,TWIST1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,CASP3,FGF8,SOX2,GSK3B,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,CDKN2A,AKT1,MYC	1.87e-23	Process	Regulation of protein modification process
GO:0060255	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,GFAP,MYC,SHFM1	1.96e-23	Process	Regulation of macromolecule metabolic process
